name,address,type,price_level,rating
Jasons Sub Shop,"916 East-West Hwy, Takoma Park, MD 20912, USA",meal_takeaway,NA,3.3
Peter's Sub Shop,"7603 Maple Ave, Takoma Park, MD 20912, USA",meal_takeaway,1,4.4
Eastern Carryout,"8555 Piney Branch Rd, Silver Spring, MD 20901, USA",meal_takeaway,NA,3.5
Little Caesars Pizza,"1137-A University Blvd E, Takoma Park, MD 20912, USA",meal_takeaway,1,4.2
Taco Bell,"1300 Holton Ln, Takoma Park, MD 20912, USA",meal_takeaway,1,4.1
Pollo Campero,"1355 University Blvd E, Takoma Park, MD 20912, USA",meal_takeaway,1,3.9
Pizza Boli's,"7831 Eastern Ave NW, Silver Spring, MD 20910, USA",meal_takeaway,1,4
Flower Deli,"8707 Flower Ave, Silver Spring, MD 20901, USA",meal_takeaway,1,4.5
Ledo Pizza,"7435 Georgia Ave NW, Washington, DC 20012, USA",meal_takeaway,2,4.4
Twin Dragon Carry-Out,"5504 3rd St NW, Washington, DC 20011, USA",meal_takeaway,1,4.3
Copper Canyon Grill,"928 Ellsworth Dr, Silver Spring, MD 20910, USA",meal_takeaway,2,4.3
Panera Bread,"8541 Georgia Ave, Silver Spring, MD 20910, USA",meal_takeaway,2,4.2
name,address,type,price_level,rating
IMAAM Center,"9100 Georgia Ave, Silver Spring, MD 20910, USA",mosque,NA,4.8
name,address,type,price_level,rating
name,address,type,price_level,rating
Regal Majestic & IMAX,"900 Ellsworth Dr, Silver Spring, MD 20910, USA",movie_theater,NA,4.2
name,address,type,price_level,rating
MD Expert Movers,"8409 Greenwood Ave, Takoma Park, MD 20912, USA",moving_company,NA,5
U-Haul Moving & Storage of Takoma Park,"6889 New Hampshire Ave, Takoma Park, MD 20912, USA",moving_company,1,3.3
AJ Moving Services LLC,"712 Seek Ln, Takoma Park, MD 20912, USA",moving_company,NA,5
My Silver Spring Best Twins Movers | Mover & Moving Company and Commercial Mover,"1813 Mt Pisgah Ln #11, Silver Spring, MD 20903, USA",moving_company,NA,4.3
Investments Move Mountain,"21 Sussex Rd, Silver Spring, MD 20910, USA",moving_company,NA,NA
ezStorage,"1352 Holton Ln, Takoma Park, MD 20912, USA",moving_company,NA,4.9
Gentle Giant Moving Company,"5782 2nd St NE, Washington, DC 20011, USA",moving_company,NA,4.8
"Diligent Transportation, Inc.","817 Silver Spring Ave #409B, Silver Spring, MD 20910, USA",moving_company,NA,NA
On the Go Transportation,"6856 Eastern Ave NW, Washington, DC 20012, USA",moving_company,NA,NA
FECH Moving & Cleaning Company,"8455 Fenton St, Silver Spring, MD 20910, USA",moving_company,NA,5
Flow Box Movers LLc,"5650 3rd St NE, Washington, DC 20011, USA",moving_company,NA,NA
BR Movers,"5644 3rd St NE, Washington, DC 20011, USA",moving_company,NA,3.2
Flat Rate Moving Estimates,"5650 3rd St NE, Washington, DC 20011, USA",moving_company,NA,3.5
Maryland Best Movers,"5650a 3rd St NE, Washington, DC 20011, USA",moving_company,NA,5
No Problemo Movers LLC,"5301 New Hampshire Ave NW unit 302, Washington, DC 20011, USA",moving_company,NA,NA
Sentry Installation Inc,"Washington, DC 20011, USA",moving_company,NA,NA
Kevin Dockett Trucking Inc,"7600 Georgia Ave NW, Washington, DC 20012, USA",moving_company,NA,NA
Universal Auto Transport,"6912 4th St NW, Washington, DC 20012, USA",moving_company,NA,NA
