name,address,type,price_level,rating
Amano,"7034 Carroll Ave, Takoma Park, MD 20912, USA",clothing_store,NA,4.8
Yama Clothing Store,"7485 New Hampshire Ave, Takoma Park, MD 20912, USA",clothing_store,NA,NA
Priti's Fashion & Jewelry,"1157 University Blvd E, Takoma Park, MD 20912, USA",clothing_store,NA,3
Y K Merchandise Inc,"1165 University Blvd E, Takoma Park, MD 20912, USA",clothing_store,NA,NA
Bespoke Not Broke,"7042 Carroll Ave, Takoma Park, MD 20912, USA",clothing_store,NA,4.8
