name,address,type,price_level,rating
Takoma Park Maryland Library,"101 Philadelphia Ave, Takoma Park, MD 20912, USA",library,NA,3.3
Takoma Park Neighborhood Library,"416 Cedar St NW, Washington, DC 20012, USA",library,NA,4.5
name,address,type,price_level,rating
Takoma Park Liquors,"6200 Eastern Ave NE, Washington, DC 20011, USA",liquor_store,NA,4
Fine Beverage Depot,"6333 New Hampshire Ave, Takoma Park, MD 20912, USA",liquor_store,NA,4.6
T J Beer & Wine Liquors,"7669 New Hampshire Ave, Takoma Park, MD 20912, USA",liquor_store,NA,3.9
New Hampshire Ave Liquors,"6501 New Hampshire Ave, Takoma Park, MD 20912, USA",liquor_store,NA,4.1
name,address,type,price_level,rating
Takoma Park City Manager,"7500 Maple Ave, Takoma Park, MD 20912, USA",local_government_office,NA,NA
Takoma Park Recycling,"31 Oswego Ave, Silver Spring, MD 20910, USA",local_government_office,NA,NA
Bridgeway Community Services Inc,"210 Riggs Rd NE, Washington, DC 20011, USA",local_government_office,NA,5
Riggs La Salle Before & After,"501 Riggs Rd NE, Washington, DC 20011, USA",local_government_office,NA,NA
Fort Totten Solid Waste Disposal Transfer Station,"4900 John McCormack Rd NE, Washington, DC 20011, USA",local_government_office,NA,4.5
Takoma Park Code Enforcement,"7500 Maple Ave, Takoma Park, MD 20912, USA",local_government_office,NA,NA
Employment Services Department,"6210 North Capitol St NW, Washington, DC 20011, USA",local_government_office,NA,NA
Employment Services Department,"5701 Georgia Ave NW, Washington, DC 20011, USA",local_government_office,NA,NA
Takoma Park Economic Development,"7500 Maple Ave, Takoma Park, MD 20912, USA",local_government_office,NA,NA
ANC 4A,"7820 Eastern Ave NW, Washington, MD 20012, USA",local_government_office,NA,NA
Emery Cooperative Play Branch,"Georgia Ave NW, Washington, DC 20011, USA",local_government_office,NA,5
DC Advisory Neighborhood Commn,"6856 Eastern Ave NW # 314, Washington, DC 20012, USA",local_government_office,NA,NA
Digital Permits,"809 Ellsworth Dr, Silver Spring, MD 20910, USA",local_government_office,NA,NA
Dept of Health Immnztn Program,"6323 Georgia Ave NW # 305, Washington, DC 20011, USA",local_government_office,NA,1
Peter Franchot Delegate,"7111 Sycamore Ave, Takoma Park, MD 20912, USA",local_government_office,NA,NA
Grants Management Division,"1325 E W Hwy, Silver Spring, MD 20910, USA",local_government_office,NA,NA
Maryland Department of Parole and Probation - Silver Spring Field Office,"8552 2nd Ave #60, Silver Spring, MD 20910, USA",local_government_office,NA,1
Silver Spring Urban District,"3, 8110 Georgia Ave, Silver Spring, MD 20910, USA",local_government_office,NA,4
Montgomery County Community Affr,"8210 Dixon Ave # B, Silver Spring, MD 20910, USA",local_government_office,NA,NA
name,address,type,price_level,rating
Capital Stores Locksmith of Montgomery County,"7663 New Hampshire Ave, Takoma Park, MD 20912, USA",locksmith,NA,5
Old Takoma Ace Hardware,"7001 Carroll Ave, Takoma Park, MD 20912, USA",locksmith,NA,4.5
Sure-Fit Security,"8213 Fenton St, Silver Spring, MD 20910, USA",locksmith,NA,4.1
name,address,type,price_level,rating
name,address,type,price_level,rating
Pizza Boli's,"7831 Eastern Ave NW, Silver Spring, MD 20910, USA",meal_delivery,1,4
Manny & Olga’s Pizza,"8107 Fenton St, Silver Spring, MD 20910, USA",meal_delivery,2,3.5
Peaches Kitchen Restaurant & Catering Service,"6214 3rd St NW, Washington, DC 20011, USA",meal_delivery,2,4.2
Domino's Pizza,"8700 Flower Ave, Silver Spring, MD 20901, USA",meal_delivery,1,3.3
Ikko Sushi,"1215 E W Hwy, Silver Spring, MD 20910, USA",meal_delivery,2,4.5
Pizza Boli's,"1814 East-West Hwy, Hyattsville, MD 20783, USA",meal_delivery,1,3.7
Yum's Carryout,"628 Kennedy St NW, Washington, DC 20011, USA",meal_delivery,1,3.8
Jimmy John's,"8710 Cameron St, Silver Spring, MD 20910, USA",meal_delivery,1,3.7
Kao Thai Restaurant,"8650 Colesville Rd, Silver Spring, MD 20910, USA",meal_delivery,2,4.4
La Villa Pizza,"4632 14th St NW, Washington, DC 20011, USA",meal_delivery,1,4
